NOME_FORNECEDOR,CNPJ_FORNECEDOR,EMAIL_FORNECEDOR,TELEFONE_FORNECEDOR,NUMERO_NF,DATA_EMISSAO,VALOR_NET,VALOR_TRIBUTO,VALOR_TOTAL,NOME_ITEM,QTD_ITEM,CONDICAO_PAGAMENTO,CEP,NUM_ENDERECO,COMPLEMENTO,TIPO_ENDERECO,DATA_PROCESSAMENTO
Ankunding,12091809000155,ccaudrey27@hostgator.com,722-35-9907,7712761,2023-06-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-06-01
Bahringer,12528708000107,amckiernan1e@spotify.com,405-61-1880,1180844,2023-06-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605080,1733,LOTE 26,fornecedor,2023-06-01
Balistreri Group,37663076000107,cwallington1h@wp.com,606-41-4411,6884489,2023-06-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605090,1122,,fornecedor,2023-06-01
Barrows Mayert,21240146000184,alongland28@acquirethisname.com,609-84-6532,8183821,2023-06-01,110000,5000,115000,Cooper,1,A vista,12605100,1373,LOTE 85,fornecedor,2023-06-01
Bartoletti,20247322000147,azanussii1m@vimeo.com,691-01-7572,3955059,2023-06-01,70000,3000,73000,Azera,1,A vista,12605110,11,LOTE 91,fornecedor,2023-06-01
Bartoletti,20247322000147,azanussii1m@vimeo.com,691-01-7572,9985136,2023-06-01,70000,3000,73000,Azera,1,A vista,12605110,11,LOTE 91,fornecedor,2023-06-01
Barton-Breitenberg,60537263000166,myelden1u@usatoday.com,763-57-5758,4721114,2023-06-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-06-01
Barton-Breitenberg,60537263000166,myelden1u@usatoday.com,763-57-5758,4721114,2023-06-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-06-01
Barton-Breitenberg,60537263000166,myelden1u@usatoday.com,763-57-5758,9073644,2023-06-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-06-01
Baumbach Kuvalis and Jacobson,61079117000105,ahancock25@wsj.com,214-28-9058,8622112,2023-06-01,110000,5000,115000,Cooper,1,A vista,12605130,99,,fornecedor,2023-06-01
Bednar and Sons,11721921000160,,133-95-3943,2773317,2023-06-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605140,445,LOTE 57,fornecedor,2023-06-01
Bednar and Sons,11721921000160,oschroeder2k@ocn.ne.jp,133-95-3943,6383725,2023-06-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605140,445,LOTE 57,fornecedor,2023-06-01
